City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Mmathubudukwane,BW,-24.6,26.4333,71.11,75,39,5.37,scattered clouds
214,Egvekinot,RU,66.3167,-179.1667,-1.91,63,0,14.88,clear sky
215,Akureyri,IS,65.6835,-18.0878,15.39,96,98,4.25,overcast clouds
216,Bahia Blanca,AR,-38.7196,-62.2724,69.1,74,100,15.97,overcast clouds
217,Pyinmana,MM,19.7333,96.2167,62.71,43,0,2.89,clear sky
218,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.73,76,84,4.56,broken clouds
219,Kamaishi,JP,39.2667,141.8833,29.26,52,98,5.17,overcast clouds
220,Barra Patuca,HN,15.8,-84.2833,82.65,66,34,10.11,scattered clouds
221,Kenai,US,60.5544,-151.2583,23.02,93,100,4.61,mist
222,Aalborg,DK,57.048,9.9187,35.96,89,20,9.22,few clouds
223,Gejiu,CN,23.306,103.1635,36.39,96,40,4.16,scattered clouds
224,Lagunas,PE,-5.2269,-75.6753,89.28,49,100,3.15,overcast clouds
225,Lagoa,PT,39.05,-27.9833,58.12,81,82,18.05,broken clouds
226,Vila,PT,42.0304,-8.1588,44.33,82,100,3.42,overcast clouds
227,Asosa,ET,10.0667,34.5333,69.51,22,61,6.4,broken clouds
228,Slave Lake,CA,55.2834,-114.769,1.38,78,100,12.66,overcast clouds
229,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,83,40,12.66,scattered clouds
230,Cidreira,BR,-30.1811,-50.2056,78.39,79,100,9.35,overcast clouds
231,Algiers,DZ,36.7525,3.042,53.42,67,0,5.75,clear sky
232,Esperance,AU,-33.8667,121.9,64.76,76,1,15.14,clear sky
233,Bafoulabe,ML,13.8065,-10.8321,86.86,8,0,5.28,clear sky
234,Chisec,GT,15.8167,-90.2833,84.43,67,93,3.71,overcast clouds
235,Trairi,BR,-3.2778,-39.2689,82.31,73,100,11.27,very heavy rain
236,Fortuna,US,40.5982,-124.1573,49.86,88,100,1.01,overcast clouds
237,Puerto Carreno,CO,6.189,-67.4859,97.86,29,49,8.46,scattered clouds
