City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Lasa,IT,2022-02-01 21:05:35,46.6166,10.7002,38.03,94,100,8.79
106,Bluff,NZ,2022-02-01 21:09:25,-46.6,168.3333,73.8,71,100,13.18
107,Chokurdakh,RU,2022-02-01 21:09:25,70.6333,147.9167,-18.54,97,100,3.56
108,Msowero,TZ,2022-02-01 21:09:26,-6.5333,37.2,69.87,96,100,2.95
109,Leningradskiy,RU,2022-02-01 21:09:26,69.3833,178.4167,-12.05,94,44,11.16
110,Santa Rosa,PH,2022-02-01 21:09:27,14.3122,121.1114,75.85,77,35,9.19
111,San Carlos,VE,2022-02-01 21:09:28,9.6612,-68.5827,95.86,22,71,5.06
112,Peniche,PT,2022-02-01 21:09:28,39.3558,-9.3811,55.74,65,0,4.21
113,Payson,US,2022-02-01 21:06:36,40.0444,-111.7321,34.25,41,40,16.11
114,Coquimbo,CL,2022-02-01 21:09:17,-29.9533,-71.3436,69.53,64,0,11.5
115,Atuona,PF,2022-02-01 21:09:30,-9.8,-139.0333,78.57,70,17,21.61
116,Victoria,HK,2022-02-01 21:06:03,22.2855,114.1577,61.25,91,100,1.99
117,Jamestown,US,2022-02-01 21:06:13,42.097,-79.2353,42.39,48,0,14.97
118,Rawson,AR,2022-02-01 21:09:31,-43.3002,-65.1023,79.16,36,42,3.02
119,Isangel,VU,2022-02-01 21:09:31,-19.55,169.2667,79.38,81,100,1.19
120,Nioro,GM,2022-02-01 21:09:32,13.35,-15.75,87.12,12,3,8.9
121,Tocopilla,CL,2022-02-01 21:09:33,-22.092,-70.1979,70.63,65,20,7.36
122,Chimore,BO,2022-02-01 21:09:33,-16.9833,-65.1333,77.29,96,65,3.69
123,Esperance,AU,2022-02-01 21:09:34,-33.8667,121.9,60.57,69,44,13.73
124,Maragogi,BR,2022-02-01 21:06:00,-9.0122,-35.2225,80.15,76,42,7.05
125,Carlsbad,US,2022-02-01 21:05:13,33.1581,-117.3506,65.39,70,0,5.01
126,Soma,TR,2022-02-01 21:09:35,39.1855,27.6094,55.58,86,100,5.08
127,Port Macquarie,AU,2022-02-01 21:09:36,-31.4333,152.9167,77.9,86,100,7.85
128,Talnakh,RU,2022-02-01 21:09:36,69.4865,88.3972,4.21,96,100,8.88
129,Poum,NC,2022-02-01 21:09:37,-20.2333,164.0167,81.12,76,64,10.11
130,Manbij,SY,2022-02-01 21:09:09,36.5281,37.9549,41.77,78,99,5.06
131,Tahta,EG,2022-02-01 21:09:38,26.7693,31.5021,54.12,45,0,1.32
132,Nizwa,OM,2022-02-01 21:09:39,22.9333,57.5333,69.01,29,3,3.04
133,Mazagao,BR,2022-02-01 21:09:39,-0.115,-51.2894,86.05,84,70,5.3
134,Luanda,AO,2022-02-01 21:09:40,-8.8368,13.2343,76.8,78,75,11.52
135,Roros,NO,2022-02-01 21:09:41,62.5747,11.3842,10.24,85,100,8.05
136,Yulara,AU,2022-02-01 21:09:27,-25.2406,130.9889,67.84,94,100,11.5
137,East London,ZA,2022-02-01 21:09:42,-33.0153,27.9116,75.81,87,100,6.08
138,Alice Springs,AU,2022-02-01 21:10:42,-23.7,133.8833,71.15,100,100,8.05
139,Kaeo,NZ,2022-02-01 21:09:46,-35.1,173.7833,74.32,84,100,13.2
140,Qaanaaq,GL,2022-02-01 21:10:43,77.484,-69.3632,-18.27,73,100,11.88
141,Tasiilaq,GL,2022-02-01 21:10:44,65.6145,-37.6368,12.36,71,96,6.35
142,Zaysan,KZ,2022-02-01 21:10:45,47.4667,84.8667,2.03,92,85,3.13
143,Saint-Georges,GD,2022-02-01 21:10:45,12.0564,-61.7485,79.43,72,1,13.2
144,Coahuayana,MX,2022-02-01 21:10:46,18.7333,-103.6833,87.28,38,0,7.78
145,Nemuro,JP,2022-02-01 21:10:47,43.3236,145.575,23.04,73,12,17.31
146,Barrow,US,2022-02-01 21:10:01,71.2906,-156.7887,-16.58,69,0,4.61
